53547,8653,61173,47387,36937,5691,36349,12011,105412,6665
643754,395565,1251577,1006199,525274,69670,37159,212557,1516878,13419
836121,343515,1387459,1030597,556760,71446,36880,211794,1494653,36260
926081,341056,1490015,1082768,553583,74335,32672,205876,1499569,78106
959341,336973,1473730,1110960,601374,80839,32235,211129,1397124,105993
1024449,226547,1428446,1081678,632952,83741,28356,195048,1285688,171472
1008830,184230,1438445,990195,638914,88932,27500,174088,1168805,195594
26114,12413,44250,38582,20035,4856,64084,13610,99141,248
30599,11617,46870,37420,19865,4915,59696,12136,98131,290
33590,12276,49435,37177,20315,4943,50860,11676,101115,258
37652,12906,52109,38691,22331,5286,45017,11171,100949,653
41327,9284,53387,39394,25646,5741,36368,10606,96079,1610
39986,7641,51173,37439,30066,5924,32822,9348,86315,3834
45261,21954,83961,77457,31893,4671,69100,22704,218304,190
56234,19882,93498,74672,34103,4849,52614,21214,222501,356
64730,22309,101763,75070,36039,5312,38798,20925,228447,687
72252,24481,106894,79956,41164,5899,34788,21410,228040,318
76902,17205,107628,79959,46694,6397,24017,20427,217130,1343
74150,13867,102726,75655,51884,6804,24372,18649,206542,3402
40917,16792,70253,73048,34561,4794,80252,22359,155751,689
49045,15587,77377,70009,35533,5087,73940,20356,148810,1305
53255,16000,81259,72236,36568,5583,63373,19388,153821,2420
60642,17567,86754,73982,40020,6435,60461,18817,153620,3286
63061,12060,87095,70306,43723,7068,52250,16619,143221,3754
61831,10493,82780,64611,49555,7482,49356,15210,129375,7785
43815,23176,85815,77460,34898,7033,148790,24592,203279,134
51442,21500,88918,76066,35926,7299,130022,21826,219230,377
57022,24485,96070,76551,37813,7570,104228,21800,230862,450
65337,24621,101202,79334,42891,8321,84952,22367,227597,571
69164,17858,104474,79513,48574,9400,70733,20940,221263,661
67786,14220,98871,75957,56591,9590,65590,18206,201869,3409
63583,29441,117536,102457,50538,12743,105104,43460,242702,366
77371,25873,125720,100458,52432,12898,98358,38392,235128,914
86708,27638,127993,101109,54246,12928,78207,34491,242083,1110
94903,28988,132518,103443,59255,13730,69421,33408,247410,1464
97088,19674,131610,100011,64341,14595,53611,30457,231905,3412
94236,16329,124688,92478,72022,15582,48845,26929,218711,6511
30539,14922,53697,50965,27925,3938,72631,14099,129777,167
37340,14459,63829,50317,30161,4200,62829,13598,141393,458
44003,16023,72126,53404,34080,4590,51407,13129,150871,504
52421,17438,78482,58106,39606,5276,46056,13501,151148,412
56295,12462,80433,59018,43253,5832,40201,12745,145951,1498
55754,10510,77552,55927,46972,6431,37480,11419,138299,3856
